id,title,artist,album,year,genre,lyrics,imageFile
1,Die with a Smile,Lady Gaga and Bruno Mars,Billboard Year-End Hot 100 2025,2025,Pop,Die with a Smile Lady Gaga and Bruno Mars chart hit rank 1 pop radio streaming popular 2025,001-die-with-a-smile.svg
2,Luther,Kendrick Lamar and SZA,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Luther Kendrick Lamar and SZA chart hit rank 2 hip-hop/rap radio streaming popular 2025,002-luther.svg
3,A Bar Song (Tipsy),Shaboozey,Billboard Year-End Hot 100 2025,2025,Country,A Bar Song (Tipsy) Shaboozey chart hit rank 3 country radio streaming popular 2025,003-a-bar-song-tipsy.svg
4,Lose Control,Teddy Swims,Billboard Year-End Hot 100 2025,2025,Pop,Lose Control Teddy Swims chart hit rank 4 pop radio streaming popular 2025,004-lose-control.svg
5,Birds of a Feather,Billie Eilish,Billboard Year-End Hot 100 2025,2025,Pop,Birds of a Feather Billie Eilish chart hit rank 5 pop radio streaming popular 2025,005-birds-of-a-feather.svg
6,Beautiful Things,Benson Boone,Billboard Year-End Hot 100 2025,2025,Pop,Beautiful Things Benson Boone chart hit rank 6 pop radio streaming popular 2025,006-beautiful-things.svg
7,Ordinary,Alex Warren,Billboard Year-End Hot 100 2025,2025,Pop,Ordinary Alex Warren chart hit rank 7 pop radio streaming popular 2025,007-ordinary.svg
8,I Had Some Help,Post Malone featuring Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,I Had Some Help Post Malone featuring Morgan Wallen chart hit rank 8 country radio streaming popular 2025,008-i-had-some-help.svg
9,APT.,Rosé and Bruno Mars,Billboard Year-End Hot 100 2025,2025,K-Pop,APT. Rosé and Bruno Mars chart hit rank 9 k-pop radio streaming popular 2025,009-apt.svg
10,Pink Pony Club,Chappell Roan,Billboard Year-End Hot 100 2025,2025,Pop,Pink Pony Club Chappell Roan chart hit rank 10 pop radio streaming popular 2025,010-pink-pony-club.svg
11,Love Somebody,Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,Love Somebody Morgan Wallen chart hit rank 11 country radio streaming popular 2025,011-love-somebody.svg
12,Espresso,Sabrina Carpenter,Billboard Year-End Hot 100 2025,2025,Pop,Espresso Sabrina Carpenter chart hit rank 12 pop radio streaming popular 2025,012-espresso.svg
13,I'm the Problem,Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,I'm the Problem Morgan Wallen chart hit rank 13 country radio streaming popular 2025,013-i-m-the-problem.svg
14,That's So True,Gracie Abrams,Billboard Year-End Hot 100 2025,2025,Pop,That's So True Gracie Abrams chart hit rank 14 pop radio streaming popular 2025,014-that-s-so-true.svg
15,TV Off,Kendrick Lamar featuring Lefty Gunplay,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,TV Off Kendrick Lamar featuring Lefty Gunplay chart hit rank 15 hip-hop/rap radio streaming popular 2025,015-tv-off.svg
16,Timeless,The Weeknd and Playboi Carti,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Timeless The Weeknd and Playboi Carti chart hit rank 16 hip-hop/rap radio streaming popular 2025,016-timeless.svg
17,Not Like Us,Kendrick Lamar,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Not Like Us Kendrick Lamar chart hit rank 17 hip-hop/rap radio streaming popular 2025,017-not-like-us.svg
18,Just in Case,Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,Just in Case Morgan Wallen chart hit rank 18 country radio streaming popular 2025,018-just-in-case.svg
19,Taste,Sabrina Carpenter,Billboard Year-End Hot 100 2025,2025,Pop,Taste Sabrina Carpenter chart hit rank 19 pop radio streaming popular 2025,019-taste.svg
20,Squabble Up,Kendrick Lamar,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Squabble Up Kendrick Lamar chart hit rank 20 hip-hop/rap radio streaming popular 2025,020-squabble-up.svg
