id,title,artist,album,year,genre,imageName
1,Die with a Smile,Lady Gaga and Bruno Mars,Billboard Year-End Hot 100 2025,2025,Pop,001-die-with-a-smile.svg
2,Luther,Kendrick Lamar and SZA,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,002-luther.svg
3,A Bar Song (Tipsy),Shaboozey,Billboard Year-End Hot 100 2025,2025,Country,003-a-bar-song-tipsy.svg
4,Lose Control,Teddy Swims,Billboard Year-End Hot 100 2025,2025,Pop,004-lose-control.svg
5,Birds of a Feather,Billie Eilish,Billboard Year-End Hot 100 2025,2025,Pop,005-birds-of-a-feather.svg
6,Beautiful Things,Benson Boone,Billboard Year-End Hot 100 2025,2025,Pop,006-beautiful-things.svg
7,Ordinary,Alex Warren,Billboard Year-End Hot 100 2025,2025,Pop,007-ordinary.svg
8,I Had Some Help,Post Malone featuring Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,008-i-had-some-help.svg
9,APT.,Rosé and Bruno Mars,Billboard Year-End Hot 100 2025,2025,K-Pop,009-apt.svg
10,Pink Pony Club,Chappell Roan,Billboard Year-End Hot 100 2025,2025,Pop,010-pink-pony-club.svg
11,Love Somebody,Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,011-love-somebody.svg
12,Espresso,Sabrina Carpenter,Billboard Year-End Hot 100 2025,2025,Pop,012-espresso.svg
13,I'm the Problem,Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,013-i-m-the-problem.svg
14,That's So True,Gracie Abrams,Billboard Year-End Hot 100 2025,2025,Pop,014-that-s-so-true.svg
15,TV Off,Kendrick Lamar featuring Lefty Gunplay,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,015-tv-off.svg
16,Timeless,The Weeknd and Playboi Carti,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,016-timeless.svg
17,Not Like Us,Kendrick Lamar,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,017-not-like-us.svg
18,Just in Case,Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,018-just-in-case.svg
19,Taste,Sabrina Carpenter,Billboard Year-End Hot 100 2025,2025,Pop,019-taste.svg
20,Squabble Up,Kendrick Lamar,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,020-squabble-up.svg
21,30 for 30,SZA and Kendrick Lamar,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,021-30-for-30.svg
22,Mutt,Leon Thomas,Billboard Year-End Hot 100 2025,2025,Pop,022-mutt.svg
23,Good News,Shaboozey,Billboard Year-End Hot 100 2025,2025,Country,023-good-news.svg
24,Nokia,Drake,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,024-nokia.svg
25,Golden,"Huntrix: Ejae, Audrey Nuna and Rei Ami",Billboard Year-End Hot 100 2025,2025,K-Pop,025-golden.svg
26,Wildflower,Billie Eilish,Billboard Year-End Hot 100 2025,2025,Pop,026-wildflower.svg
